model_key,Model,Label,Metric level,PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Specificity,Balanced Accuracy,Brier,Accuracy,TN,FP,FN,TP
B1,B1 calibrated Z*>3,Any,patient-weighted,0.22616267992348388,0.5721008924328822,0.09387351778656129,0.4164057608015028,0.15320815574242605,0.1110814151605252,0.9829478922716628,0.538410705029112,0.6777747382364673,0.8809361839974084,127.91428571428585,2.219047619047619,15.283333333333328,1.5833333333333333
B1_FDR,B1 calibrated BH-FDR,T13,row-level,0.09139390808093226,0.551994621246078,0.043478260869565216,0.0625,0.05128205128205128,0.046296296296296294,0.9742268041237113,0.5088525324966383,0.22976185400548518,0.9388429752066115,567.0,15.0,22.0,1.0
B1_FDR,B1 calibrated BH-FDR,T13,patient-weighted,0.22194306614146986,0.6072180667565283,0.16216216216216214,0.24361948955916476,0.19471488178025034,0.17378351539225423,0.9779543533389686,0.5700582577505654,0.21966002729916548,0.9437317784256559,137.7285714285713,3.1047619047619044,5.166666666666667,1.0
B1_FDR,B1 calibrated BH-FDR,T18,row-level,0.10113827857839758,0.6062456249513883,0.043478260869565216,0.08695652173913043,0.057971014492753624,0.04830917874396135,0.962432915921288,0.5029555883954266,0.2252458388554721,0.8925619834710744,538.0,21.0,44.0,2.0
B1_FDR,B1 calibrated BH-FDR,T18,patient-weighted,0.14696194084983238,0.6388672971378939,0.10838150289017344,0.23016220955721178,0.14736842105263162,0.1212079235351157,0.9691366704161979,0.5387590866531856,0.21284235291717166,0.901603498542274,131.28571428571433,4.180952380952381,10.283333333333333,1.25
B1_FDR,B1 calibrated BH-FDR,T21,row-level,0.02457075473159812,0.5081860706860707,0.0,0.0,0.0,0.0,0.9695945945945946,0.4847972972972973,0.2303959818273386,0.9487603305785124,574.0,18.0,13.0,0.0
B1_FDR,B1 calibrated BH-FDR,T21,patient-weighted,0.02673027788058616,0.5046865823371545,0.0,0.0,0.0,0.0,0.9701509872241579,0.48507549361207897,0.2300535419651657,0.9470521541950113,139.2166666666665,4.283333333333334,3.5,0.0
B1_FDR,B1 calibrated BH-FDR,Any,row-level,0.1610500529180002,0.5446651500860012,0.07462686567164178,0.1,0.08547008547008547,0.07861635220125786,0.9163568773234201,0.49549187149753093,0.5149757522651195,0.8231404958677686,493.0,45.0,62.0,5.0
B1_FDR,B1 calibrated BH-FDR,Any,patient-weighted,0.22753149697575492,0.5708082284155321,0.11857707509881427,0.1822521154263398,0.143675703412298,0.12748520261041132,0.9310414227166276,0.524809248907721,0.5031883398028159,0.8378198898607062,121.15952380952393,8.973809523809527,14.86666666666666,1.9999999999999998
M1_raw,M1-raw Elastic-Net,T13,row-level,0.18288489062083607,0.7226953533542506,0.6956521739130435,0.06837606837606838,0.1245136186770428,0.24539877300613497,0.6254295532646048,0.6605408635888241,0.14532033149171167,0.628099173553719,364.0,218.0,7.0,16.0
