scenario,Group,GA,mean_reliability,q10_reliability,min_reliability,BMI_interval,N,detection_failure_risk,delay_risk,minimax_risk,normalized_delay_risk,normalized_detection_failure_risk,knee_distance,is_knee
no_error,1,14.5,0.881791933682976,0.8780554239129611,0.725715945769409,"[20.70, 32.09]",158,0.11820806631702396,0.16666666666666666,0.16666666666666666,0.1923076923076923,0.6915696784656934,0.08211109857535015,False
no_error,1,14.6,0.8829269645156949,0.8787348176415963,0.728804426223777,"[20.70, 32.09]",158,0.11707303548430514,0.1733333333333333,0.1733333333333333,0.19999999999999996,0.6842729191239476,0.08183140365438069,False
no_error,1,14.7,0.8840075919879657,0.8793664780214744,0.731789964730256,"[20.70, 32.09]",158,0.11599240801203425,0.17999999999999997,0.17999999999999997,0.20769230769230765,0.6773259020245513,0.08130440362217849,False
no_error,1,14.8,0.8850355015514766,0.8799528622087186,0.7346753802711977,"[20.70, 32.09]",158,0.11496449844852341,0.1866666666666667,0.1866666666666667,0.21538461538461542,0.670717791924096,0.08053776015283352,False
no_error,1,14.9,0.8860125342510532,0.880496591062143,0.7374637966907098,"[20.70, 32.09]",158,0.1139874657489468,0.19333333333333336,0.19333333333333336,0.2230769230769231,0.6644367533194004,0.07953984221090403,False
no_error,1,15.0,0.8869406701078364,0.8810004268933338,0.7401586116591772,"[20.70, 32.09]",158,0.11305932989216361,0.2,0.2,0.23076923076923078,0.6584700572718847,0.07831965051517718,False
no_error,1,15.1,0.8878220253308136,0.8814672768967687,0.7427634846640011,"[20.70, 32.09]",158,0.11217797466918644,0.20666666666666664,0.20666666666666664,0.23846153846153842,0.6528040993337639,0.07688680486293593,False
no_error,1,15.2,0.8886588573925243,0.8819002049300964,0.7452823442526944,"[20.70, 32.09]",158,0.11134114260747574,0.2133333333333333,0.2133333333333333,0.24615384615384608,0.6474243669179199,0.07525156720294413,False
no_error,1,15.3,0.8894535477242851,0.8823024136477281,0.7477193515678486,"[20.70, 32.09]",158,0.11054645227571491,0.22000000000000006,0.22000000000000006,0.2538461538461539,0.6423155505449049,0.07342476297193566,False
no_error,1,15.4,0.8902085942995512,0.8826772453212343,0.7500788854097769,"[20.70, 32.09]",158,0.10979140570044876,0.22666666666666668,0.22666666666666668,0.26153846153846155,0.6374615915221977,0.0714177473802893,False
no_error,1,15.5,0.8909266163799032,0.883028188677674,0.7523655474367652,"[20.70, 32.09]",158,0.10907338362009678,0.23333333333333334,0.23333333333333334,0.2692307692307692,0.632845651433735,0.06924242698618797,False
no_error,1,15.6,0.89161034325503,0.8833588698743643,0.754584133288881,"[20.70, 32.09]",158,0.10838965674497003,0.23999999999999996,0.23999999999999996,0.2769230769230769,0.6284501845270491,0.06691120851018237,False
no_error,1,15.7,0.8922626020917094,0.8836730395802127,0.7567396123386834,"[20.70, 32.09]",158,0.10773739790829062,0.24666666666666662,0.24666666666666662,0.28461538461538455,0.6242570158283838,0.06443694359946363,False
no_error,1,15.8,0.8928863184805913,0.8839745795127296,0.7588371226943308,"[20.70, 32.09]",158,0.1071136815194087,0.25333333333333335,0.25333333333333335,0.2923076923076923,0.6202473376275964,0.06183293131341197,False
no_error,1,15.9,0.8934845114771683,0.8842674948764071,0.760881958817979,"[20.70, 32.09]",158,0.10651548852283166,0.26,0.26,0.3,0.6164017413582116,0.0591128955809955,False
no_error,1,16.0,0.8940602781345958,0.8845558989950572,0.7628795415424245,"[20.70, 32.09]",158,0.10593972186540423,0.26666666666666666,0.26666666666666666,0.30769230769230765,0.6127003170310981,0.056290914890542124,False
no_error,1,16.1,0.8946167889393546,0.8848440077414141,0.7648354057370963,"[20.70, 32.09]",158,0.10538321106064541,0.27333333333333343,0.27333333333333343,0.3153846153846155,0.6091226825771693,0.053381401541317486,False
no_error,1,16.2,0.8951572852533387,0.8851361363642876,0.7667551962310905,"[20.70, 32.09]",158,0.10484271474666129,0.27999999999999997,0.27999999999999997,0.32307692307692304,0.6056480002914064,0.05039909001584506,False
no_error,1,16.3,0.8956850633568502,0.885436678541602,0.768644634837883,"[20.70, 32.09]",158,0.10431493664314984,0.28666666666666674,0.28666666666666674,0.3307692307692308,0.6022550794154675,0.04735896444304659,False
no_error,1,16.4,0.8962034651475056,0.8857500951720831,0.7705095053150901,"[20.70, 32.09]",158,0.1037965348524944,0.2933333333333332,0.2933333333333332,0.3384615384615383,0.5989224359315175,0.044276216317620735,False
no_error,1,16.5,0.8967158732440134,0.8860809060146533,0.7723556422271746,"[20.70, 32.09]",158,0.10328412675598664,0.3,0.3,0.34615384615384615,0.595628324038519,0.04116622224294295,False
no_error,1,16.6,0.8972256964647292,0.8864336672761358,0.7741889069767574,"[20.70, 32.09]",158,0.10277430353527084,0.30666666666666675,0.30666666666666675,0.3538461538461539,0.59235082950607,0.03804447791993518,False
no_error,1,16.7,0.8977363567635703,0.8868129553741195,0.7760151639975483,"[20.70, 32.09]",158,0.10226364323642967,0.3133333333333333,0.3133333333333333,0.3615384615384615,0.5890679536593386,0.034926538760748346,False
no_error,1,16.8,0.898251279723385,0.8872233498642395,0.7778402679082892,"[20.70, 32.09]",158,0.10174872027661497,0.32000000000000006,0.32000000000000006,0.3692307692307693,0.585757674494228,0.0318279766738143,False
no_error,1,16.9,0.8987738812290158,0.8876694123373223,0.7796700387176418,"[20.70, 32.09]",158,0.1012261187709842,0.32666666666666655,0.32666666666666655,0.37692307692307675,0.5823980323520958,0.028764319482672072,False
no_error,1,17.0,0.899307551060814,0.8881556618551693,0.7815102406447303,"[20.70, 32.09]",158,0.10069244893918605,0.3333333333333333,0.3333333333333333,0.3846153846153846,0.5789672353919345,0.025750976345871972,False
no_error,1,17.1,0.8998556404451169,0.8886865545372065,0.7833665594479056,"[20.70, 32.09]",158,0.1001443595548831,0.3400000000000001,0.3400000000000001,0.3923076923076924,0.575443739624472,0.022803181164322475,False
no_error,1,17.2,0.9004214465086882,0.8892664580600825,0.7852445821974575,"[20.70, 32.09]",158,0.09957855349131184,0.3466666666666666,0.3466666666666666,0.3999999999999999,0.5718063488497294,0.019935921914764336,False
no_error,1,17.3,0.9010081949840484,0.8898996241095087,0.7871497700948437,"[20.70, 32.09]",158,0.09899180501595162,0.3533333333333334,0.3533333333333334,0.40769230769230774,0.5680343258390554,0.017163862032199252,False
no_error,1,17.4,0.9016190254819245,0.8905901628887178,0.7890874401552935,"[20.70, 32.09]",158,0.09838097451807548,0.35999999999999993,0.35999999999999993,0.4153846153846153,0.5641074870139599,0.014501273461846844,False
no_error,1,17.5,0.9022569736128728,0.891342015549864,0.7910627371006324,"[20.70, 32.09]",158,0.09774302638712717,0.36666666666666664,0.36666666666666664,0.423076923076923,0.560006317380624,0.011961955388170735,False
no_error,1,17.6,0.9029249525509447,0.892158922993841,0.7930806095631217,"[20.70, 32.09]",158,0.09707504744905526,0.3733333333333334,0.3733333333333334,0.43076923076923085,0.5557120890513456,0.009559150427562555,False
no_error,1,17.7,0.9036257379475048,0.8930443993790171,0.7951457890724519,"[20.70, 32.09]",158,0.09637426205249522,0.37999999999999995,0.37999999999999995,0.4384615384615384,0.5512069582288993,0.0073054760500427494,False
no_error,1,17.8,0.9043619491134667,0.8940017018444789,0.7972627645814746,"[20.70, 32.09]",158,0.09563805088653332,0.3866666666666667,0.3866666666666667,0.4461538461538462,0.5464740861800739,0.005212839038051218,False
no_error,1,17.9,0.9051360287256223,0.8950337978907857,0.799435753097149,"[20.70, 32.09]",158,0.09486397127437773,0.39333333333333326,0.39333333333333326,0.45384615384615373,0.5414977696973564,0.0032923432361070073,False
no_error,1,18.0,0.9059502291192146,0.8961433408228939,0.8016686830181311,"[20.70, 32.09]",158,0.09404977088078537,0.4,0.4,0.46153846153846156,0.536263529219706,0.0015542272400104228,False
no_error,1,18.1,0.9068065951865623,0.8973326389933649,0.8039651710706068,"[20.70, 32.09]",158,0.09319340481343774,0.4066666666666668,0.4066666666666668,0.46923076923076934,0.530758218771967,7.786657939506506e-06,False
no_error,1,18.2,0.9077069088439751,0.8986035015142207,0.8063284534201415,"[20.70, 32.09]",158,0.09229309115602491,0.4133333333333333,0.4133333333333333,0.47692307692307684,0.5249703829697516,0.0013388783301237603,False
no_error,1,18.3,0.9086521533194701,0.8999553300085692,0.8087607974219997,"[20.70, 32.09]",158,0.09134784668052987,0.42000000000000004,0.42000000000000004,0.48461538461538467,0.5188937009466911,0.0024812981967075646,False
no_error,1,18.4,0.9096426270087761,0.9013855377087029,0.8112636118851563,"[20.70, 32.09]",158,0.09035737299122393,0.4266666666666666,0.4266666666666666,0.49230769230769217,0.5125262544096798,0.003418116503748173,False
